'hood.n.01	'hood
15_may_organization.n.01	15 may organization
401-k_plan.n.01	401-k plan
9/11.n.01	9/11
a'man.n.01	a'man
aachen.n.01	aachen
aalborg.n.01	aalborg
aardvark.n.01	aardvark
aare.n.01	aare
abadan.n.01	abadan
abalone.n.01	abalone
abandon.v.01	abandon
abandon.v.02	abandon
abandon.v.04	abandon
abandon.v.05	abandon
abandonment.n.01	abandonment
abandonment.n.03	abandonment
abasement.n.01	abasement
abasia.n.01	abasia
abate.v.02	abate
abator.n.01	abator
abattoir.n.01	abattoir
abbatial.a.01	abbatial
abbess.n.01	abbess
abbreviation.n.01	abbreviation
abdicate.v.01	abdicate
abdomen.n.01	abdomen
abdominal.a.01	abdominal
abdominal.n.01	abdominal
abdominal_cavity.n.01	abdominal cavity
abdominal_pregnancy.n.01	abdominal pregnancy
abdominal_wall.n.01	abdominal wall
abducent.n.01	abducent
abduct.v.02	abduct
abduction.n.01	abduction
abduction.n.02	abduction
abductor.n.02	abductor
abelard.n.01	abelard
abelmoschus.n.01	abelmoschus
abelmosk.n.01	abelmosk
aberdeen.n.01	aberdeen
aberdeen.n.02	aberdeen
aberdeen.n.03	aberdeen
aberrance.n.01	aberrance
aberrate.v.01	aberrate
aberrate.v.02	aberrate
aberration.n.02	aberration
aberration.n.03	aberration
abet.v.01	abet
abetalipoproteinemia.n.01	abetalipoproteinemia
abetment.n.01	abetment
abeyance.n.01	abeyance
abhor.v.01	abhor
abhorrence.n.01	abhorrence
abhorrer.n.01	abhorrer
abidance.n.03	abidance
abidjan.n.01	abidjan
abies.n.01	abies
abilene.n.01	abilene
ability.n.01	ability
ability.n.02	ability
abiogenesis.n.01	abiogenesis
abiogenist.n.01	abiogenist
abjure.v.01	abjure
abjurer.n.01	abjurer
abkhaz.n.01	abkhaz
abkhaz.n.02	abkhaz
ablate.v.01	ablate
ablate.v.02	ablate
ablation.n.01	ablation
ablation.n.02	ablation
able.a.01	able
able_seaman.n.01	able seaman
ableism.n.01	ableism
abnegation.n.02	abnegation
abnegator.n.01	abnegator
abnormal.a.01	abnormal
abnormality.n.01	abnormality
abnormality.n.02	abnormality
abnormality.n.04	abnormality
abolition.n.01	abolition
abolitionism.n.01	abolitionism
abolitionist.n.01	abolitionist
abomasum.n.01	abomasum
abomination.n.01	abomination
abomination.n.03	abomination
abominator.n.01	abominator
aborigine.n.02	aborigine
abort.v.02	abort
abort.v.03	abort
abortifacient.n.01	abortifacient
abortion.n.01	abortion
abortion_pill.n.01	abortion pill
abortionist.n.01	abortionist
abound.v.01	abound
abound.v.02	abound
about-face.n.01	about-face
about-face.n.02	about-face
abrade.v.01	abrade
abrader.n.01	abrader
