'hood.n.01	(slang) a neighborhood
15_may_organization.n.01	a terrorist organization formed in 1979 by a faction of the Popular Front for the Liberation of Palestine but disbanded in the 1980s when key members left to join a faction of al-Fatah
401-k_plan.n.01	a retirement savings plan that is funded by employee contributions and (often) matching contributions from the employer; contributions are made from your salary before taxes and the funds grow tax-free until they are withdrawn, at which point they can be converted into an IRA; funds can be transferred if you change employers and you can (to some extent) manage the investments yourself
9/11.n.01	the day in 2001 when Arab suicide bombers hijacked United States airliners and used them as bombs
a'man.n.01	the Israeli military intelligence which produces comprehensive national intelligence briefings for the prime minister and the cabinet
aachen.n.01	a city in western Germany near the Dutch and Belgian borders; formerly it was Charlemagne's northern capital
aalborg.n.01	a city and port in northern Jutland
aardvark.n.01	nocturnal burrowing mammal of the grasslands of Africa that feeds on termites; sole extant representative of the order Tubulidentata
aare.n.01	a river in north central Switzerland that runs northeast into the Rhine
abadan.n.01	a port city in southwestern Iran
abalone.n.01	any of various large edible marine gastropods of the genus Haliotis having an ear-shaped shell with pearly interior
abandon.v.01	forsake, leave behind
abandon.v.02	give up with the intent of never claiming again
abandon.v.04	stop maintaining or insisting on; of ideas or claims
abandon.v.05	leave someone who needs or counts on you; leave in the lurch
abandonment.n.01	the act of giving something up
abandonment.n.03	the voluntary surrender of property (or a right to property) without attempting to reclaim it or give it away
abasement.n.01	a low or downcast state
abasia.n.01	inability to walk
abate.v.02	become less in amount or intensity
abator.n.01	a person who abates a nuisance
abattoir.n.01	a building where animals are butchered
abbatial.a.01	of or having to do with or belonging to an abbey or abbot, or abbess
abbess.n.01	the superior of a group of nuns
abbreviation.n.01	a shortened form of a word or phrase
abdicate.v.01	give up, such as power, as of monarchs and emperors, or duties and obligations
abdomen.n.01	the region of the body of a vertebrate between the thorax and the pelvis
abdominal.a.01	of or relating to or near the abdomen
abdominal.n.01	the muscles of the abdomen
abdominal_cavity.n.01	the cavity containing the major viscera; in mammals it is separated from the thorax by the diaphragm
abdominal_pregnancy.n.01	ectopic pregnancy in the abdominal cavity
abdominal_wall.n.01	a wall of the abdomen
abducent.n.01	a small motor nerve supplying the lateral rectus muscle of the eye
abduct.v.02	pull away from the body
abduction.n.01	the criminal act of capturing and carrying away by force a family member; if a man's wife is abducted it is a crime against the family relationship and against the wife
abduction.n.02	(physiology) moving of a body part away from the central axis of the body
abductor.n.02	a muscle that draws a body part away from the median line
abelard.n.01	French philosopher and theologian; lover of Heloise (1079-1142)
abelmoschus.n.01	genus of tropical coarse herbs having large lobed leaves and often yellow flowers
abelmosk.n.01	bushy herb of tropical Asia grown for its yellow or pink to scarlet blooms that resemble the hibiscus
aberdeen.n.01	a town in western Washington
aberdeen.n.02	a town in northeastern South Dakota
aberdeen.n.03	a town in northeastern Maryland
aberrance.n.01	a state or condition markedly different from the norm
aberrate.v.01	diverge from the expected
aberrate.v.02	diverge or deviate from the straight path; produce aberration
aberration.n.02	a disorder in one's mental state
aberration.n.03	an optical phenomenon resulting from the failure of a lens or mirror to produce a good image
abet.v.01	assist or encourage, usually in some wrongdoing
abetalipoproteinemia.n.01	a rare inherited disorder of fat metabolism; characterized by severe deficiency of beta-lipoproteins and abnormal red blood cells (acanthocytes) and abnormally low cholesterol levels
abetment.n.01	the verbal act of urging on
abeyance.n.01	temporary cessation or suspension
abhor.v.01	find repugnant
abhorrence.n.01	hate coupled with disgust
abhorrer.n.01	a signer of a 1679 address to Charles II in which those who petitioned for the reconvening of parliament were condemned and abhorred
abidance.n.03	the act of abiding (enduring without yielding)
abidjan.n.01	city recognized by the United States as the capital of the Ivory Coast; largest city of the Ivory Coast
abies.n.01	true firs
abilene.n.01	a city in central Texas
ability.n.01	the quality of being able to perform; a quality that permits or facilitates achievement or accomplishment
ability.n.02	possession of the qualities (especially mental qualities) required to do something or get something done
abiogenesis.n.01	a hypothetical organic phenomenon by which living organisms are created from nonliving matter
abiogenist.n.01	a believer in abiogenesis
abjure.v.01	formally reject or disavow a formerly held belief, usually under pressure
abjurer.n.01	a person who abjures
abkhaz.n.01	a member of the Circassian people who live to the east of the Black Sea
abkhaz.n.02	an autonomous province of Georgia on the Black Sea; a strong independence movement has resulted in much instability
ablate.v.01	wear away through erosion or vaporization
ablate.v.02	remove an organ or bodily structure
ablation.n.01	surgical removal of a body part or tissue
ablation.n.02	the erosive process that reduces the size of glaciers
able.a.01	(usually followed by `to') having the necessary means or skill or know-how or authority to do something
able_seaman.n.01	a seaman in the merchant marine; trained in special skills
ableism.n.01	discrimination in favor of the able-bodied
abnegation.n.02	renunciation of your own interests in favor of the interests of others
abnegator.n.01	one who gives up or relinquishes or renounces something
abnormal.a.01	not normal; not typical or usual or regular or conforming to a norm
abnormality.n.01	an abnormal physical condition resulting from defective genes or developmental deficiencies
abnormality.n.02	retardation sufficient to fall outside the normal range of intelligence
abnormality.n.04	behavior that breaches the rule or etiquette or custom or morality
